1|Buenos días
OPACIDAD|Propiedad de un cuerpo que impide el paso de la luz
===5|La arquitectura del discurso
EPANALEPSIS|Repetición al final de un enunciado de una palabra usada al principio
ANADIPLOSIS|Repetición al comienzo de un enunciado de la palabra final del anterior
EPIFORA|Repetición de palabras al final de enunciados sucesivos
POLISINDETON|Repetición expresiva de conjunciones
ASINDETON|Omisión expresiva de conjunciones
HIPERBATON|Alteración del orden habitual de los elementos de una oración
PROSOPOPEYA|Atribución de cualidades humanas a seres inanimados o abstractos
LITOTE|Afirmación atenuada que se expresa negando lo contrario
OXIMORON|Combinación de términos aparentemente contradictorios
PRETERICION|Figura que menciona algo mientras afirma que lo va a omitir
APOSIOPESIS|Interrupción de un discurso cuyo sentido se deja sobreentendido
===5|El taller del filólogo
ESTEMA|Árbol que representa las relaciones entre testimonios de un texto
ARQUETIPO|Antepasado textual común reconstruido a partir de los testimonios conservados
LECCION|Lectura concreta que ofrece un testimonio en un pasaje
VARIANTE|Forma textual que difiere de otra en un mismo lugar de la obra
LAGUNA|Falta de texto en un manuscrito o testimonio
INTERPOLACION|Pasaje añadido a un texto por alguien distinto de su autor original
DITOGRAFIA|Repetición involuntaria de letras o palabras al copiar
HAPLOGRAFIA|Omisión al copiar de un elemento semejante a otro contiguo
PALEOGRAFIA|Estudio de las escrituras antiguas y su lectura
CODICOLOGIA|Estudio material de los manuscritos como objetos
ECDOTICA|Disciplina dedicada a la edición crítica de textos
===5|Límites del conocimiento
FALIBILISMO|Postura según la cual nuestras creencias pueden estar equivocadas
RACIONALISMO|Corriente que otorga a la razón un papel central en el conocimiento
EMPIRISMO|Corriente que sitúa la experiencia en la base del conocimiento
ESCEPTICISMO|Actitud filosófica que cuestiona la posibilidad o certeza del conocimiento
FENOMENOLOGIA|Estudio filosófico de las estructuras de la experiencia tal como se manifiestan
HERMENEUTICA|Teoría y práctica de la interpretación
PRAGMATISMO|Corriente que relaciona significado y verdad con consecuencias prácticas
NOMINALISMO|Doctrina que niega a los universales existencia independiente de los individuos
DEDUCCION|Razonamiento cuya conclusión se sigue necesariamente de sus premisas
INDUCCION|Inferencia que pasa de casos particulares a una generalización
ABDUCCION|Inferencia que propone una explicación plausible de lo observado
===5|Estructuras abstractas
HOMOMORFISMO|Aplicación que conserva las operaciones de una estructura algebraica
ENDOMORFISMO|Homomorfismo de una estructura en sí misma
AUTOMORFISMO|Isomorfismo de una estructura consigo misma
IDEAL|Subconjunto de un anillo estable bajo suma y multiplicación por elementos del anillo
COCIENTE|Estructura formada al identificar elementos mediante una relación compatible
RETICULO|Conjunto ordenado en el que cada par tiene supremo e ínfimo
MONOIDE|Estructura con una operación asociativa y un elemento neutro
SEMIGRUPO|Conjunto provisto de una operación asociativa
GRUPO|Conjunto con operación asociativa, neutro e inverso para cada elemento
ANILLO|Estructura algebraica con suma y multiplicación compatibles por distributividad
CUERPO|Anillo conmutativo en el que todo elemento no nulo tiene inverso multiplicativo
===5|Matemáticas del espacio
HOMEOMORFISMO|Biyectiva continua cuya inversa también es continua
HOMOTOPIA|Deformación continua entre dos aplicaciones
COMPACIDAD|Propiedad por la que todo recubrimiento abierto admite un subrecubrimiento finito
CONEXIDAD|Imposibilidad de separar un espacio en dos abiertos no vacíos disjuntos
VARIEDAD|Espacio que localmente se parece a un espacio euclídeo
FRONTERA|Conjunto de puntos donde todo entorno toca un conjunto y su complementario
ADHERENCIA|Conjunto de puntos cuyos entornos siempre cortan un conjunto dado
INTERIOR|Mayor conjunto abierto contenido en un conjunto dado
DENSIDAD|Propiedad de un subconjunto cuya adherencia es todo el espacio
METRICA|Función que asigna distancias y satisface los axiomas correspondientes
ENTORNO|Conjunto que contiene un abierto en torno a un punto
===5|Materia en equilibrio
ESTEQUIOMETRIA|Estudio de las relaciones cuantitativas en las reacciones químicas
ISOMERIA|Existencia de compuestos con igual fórmula molecular y distinta estructura
QUIRALIDAD|Propiedad de un objeto no superponible con su imagen especular
ENANTIOMERO|Cada uno de dos isómeros que son imágenes especulares no superponibles
TAUTOMERIA|Equilibrio entre isómeros que suelen diferir en la posición de un protón y un enlace
CATALISIS|Modificación de la velocidad de una reacción por una sustancia que se regenera
ADSORCION|Acumulación de moléculas sobre una superficie
DESORCION|Liberación de moléculas previamente retenidas en una superficie
SOLVATACION|Interacción de un soluto con moléculas de disolvente que lo rodean
SUBLIMACION|Paso directo del estado sólido al gaseoso
EUTECTICO|Mezcla que funde a una temperatura mínima para una composición concreta
===5|El mapa de la célula
CITOESQUELETO|Red de filamentos que organiza y sostiene el interior celular
CENTROSOMA|Centro organizador de microtúbulos típico de las células animales
LISOSOMA|Orgánulo con enzimas que degradan materiales celulares
PEROXISOMA|Orgánulo que participa en oxidaciones y en la degradación del peróxido de hidrógeno
NUCLEOLO|Región nuclear donde se ensamblan subunidades ribosómicas
CROMATINA|Complejo de ADN y proteínas que constituye los cromosomas
CENTROMERO|Región cromosómica donde se ensambla el cinetocoro
CINETOCORO|Complejo proteico al que se unen los microtúbulos del huso
TELOMERO|Región protectora situada en los extremos de un cromosoma lineal
PLASMODESMO|Canal que comunica citoplasmas de células vegetales vecinas
APOPTOSIS|Forma regulada de muerte celular que suele evitar una respuesta inflamatoria
===5|El reloj de las estrellas
PARALAJE|Cambio aparente de posición de un objeto al variar el punto de observación
PRECESION|Cambio lento de la orientación de un eje de rotación
NUTACION|Oscilación periódica que se superpone a la precesión de un eje
PERIHELIO|Punto de una órbita solar más próximo al Sol
AFELIO|Punto de una órbita solar más alejado del Sol
PERIASTRO|Punto de una órbita más cercano al cuerpo central
APOASTRO|Punto de una órbita más alejado del cuerpo central
SINODICO|Periodo medido entre configuraciones equivalentes respecto al Sol y al observador
SIDEREO|Periodo medido respecto a las estrellas lejanas
OCULTACION|Paso de un cuerpo celeste por delante de otro que lo esconde
LIBRACION|Oscilación aparente que permite ver algo más de la mitad de la superficie lunar
===5|Texturas de la Tierra
PORFIDICO|Textura ígnea con cristales grandes incluidos en una matriz más fina
FANERITICO|Textura de una roca ígnea cuyos cristales se distinguen a simple vista
AFANITICO|Textura de una roca ígnea cuyos cristales no se distinguen a simple vista
PIROCLASTO|Fragmento sólido expulsado durante una erupción volcánica explosiva
IGNIMBRITA|Depósito consolidado de una corriente piroclástica rica en ceniza y pómez
OFIOLITA|Asociación de rocas que representa fragmentos de litosfera oceánica en un continente
PERIDOTITA|Roca ultramáfica rica en olivino, característica del manto superior
ECLOGITA|Roca metamórfica de alta presión con granate y omfacita
ANATEXIA|Fusión parcial de rocas en profundidad
MIGMATITA|Roca que combina rasgos metamórficos y evidencias de fusión parcial
METASOMATISMO|Cambio químico de una roca por intercambio de materia con fluidos
===5|Patrones de la evolución
CLADISTICA|Clasificación de los organismos según su parentesco evolutivo
SINAPOMORFIA|Carácter derivado compartido que apoya un grupo evolutivo
PLESIOMORFIA|Estado ancestral de un carácter
HOMOPLASIA|Semejanza evolutiva que no procede de herencia desde un antepasado común inmediato
MONOFILIA|Condición de un grupo que incluye un antepasado y todos sus descendientes
PARAFILIA|Condición de un grupo que incluye al antepasado pero excluye algunos descendientes
ESPECIACION|Proceso evolutivo por el que surgen nuevas especies
VICARIANCIA|Separación de una población por la aparición de una barrera geográfica
ALOPATRIA|Distribución de poblaciones en áreas geográficas separadas
SIMPATRIA|Coincidencia de poblaciones o especies en una misma área geográfica
COEVOLUCION|Cambio evolutivo recíproco entre especies que interactúan
===5|Los mecanismos de la voz
OCLUSIVA|Consonante producida con cierre completo y posterior apertura del paso del aire
FRICATIVA|Consonante producida por fricción del aire en un estrechamiento
AFRICADA|Consonante que combina una oclusión y una fricación en una unidad
APROXIMANTE|Sonido con acercamiento de articuladores sin fricción turbulenta intensa
ALOFONO|Variante fonética de un fonema
FONOTACTICA|Estudio de las combinaciones de sonidos permitidas en una lengua
COARTICULACION|Influencia mutua de sonidos próximos durante su articulación
PROSODIA|Conjunto de rasgos como acento, ritmo y entonación
FORMANTE|Concentración de energía acústica asociada a una resonancia del tracto vocal
GLOTAL|Sonido articulado en la glotis
UVULAR|Sonido articulado con intervención de la úvula
===5|Las reglas del razonamiento
CONSISTENCIA|Propiedad de un sistema en el que no se derivan contradicciones
COMPLETITUD|Propiedad de un sistema deductivo capaz de demostrar todas las fórmulas válidas de su semántica
DECIDIBILIDAD|Existencia de un procedimiento que resuelve siempre un problema en un número finito de pasos
SATISFACIBILIDAD|Propiedad de una fórmula verdadera bajo al menos una interpretación
CUANTIFICADOR|Operador lógico que expresa alcance universal o existencial
PREDICADO|Expresión lógica que atribuye una propiedad o relación a sus argumentos
IMPLICACION|Conectiva lógica que expresa una condición suficiente
EQUIVALENCIA|Relación entre proposiciones que tienen el mismo valor de verdad en cada interpretación
CONTRAPOSICION|Paso de una implicación a la que niega e intercambia antecedente y consecuente
CONTRADICCION|Fórmula falsa bajo toda interpretación
CONTINGENCIA|Propiedad de una fórmula verdadera en unas interpretaciones y falsa en otras
===5|Entre códices y sellos
SIGILOGRAFIA|Disciplina que estudia los sellos empleados para autenticar documentos
DIPLOMATICA|Estudio crítico de la forma y autenticidad de los documentos históricos
EPIGRAFIA|Disciplina dedicada al estudio de las inscripciones
HERALDICA|Estudio de los escudos de armas y sus reglas
BLASON|Descripción técnica de un escudo de armas
FILIGRANA|Marca de agua visible al trasluz en ciertos papeles
PERGAMINO|Piel preparada para escribir sobre ella
VITELA|Piel muy fina preparada para escritura o pintura
CARTULARIO|Colección de copias de documentos y privilegios de una institución
BULARIO|Colección de bulas pontificias
INCIPIT|Palabras iniciales por las que se identifica un texto
===5|Memoria de las formas
PALMETA|Motivo ornamental que recuerda a una hoja de palma abierta
ACANTO|Planta cuyas hojas inspiran la ornamentación del capitel corintio
ASTRAGALO|Moldura convexa de sección aproximadamente semicircular
ESCOCIA|Moldura cóncava habitual en las basas de columnas
GOLA|Moldura cuyo perfil combina una curva cóncava y otra convexa
MODILLON|Elemento saliente que sostiene o adorna una cornisa
SOFITO|Cara inferior de un elemento arquitectónico, como un arco o una cornisa
ENJUTA|Superficie entre el arco y el marco rectangular que lo contiene
ALFIZ|Moldura rectangular que enmarca un arco
MOCARABE|Ornamento de piezas colgantes prismáticas, típico de la arquitectura islámica
ATAURIQUE|Decoración de motivos vegetales estilizados en el arte islámico
===5|Cien conexiones
PALINGENESIA|Renacimiento o regeneración de un ser o de una realidad
APOTROPAICO|Que se cree capaz de alejar el mal
HIEROFANIA|Manifestación de lo sagrado
LIMINAL|Relativo a un umbral o a un estado de transición
ANAMNESIS|Recuerdo o recuperación de lo vivido; también, historia recogida en una entrevista clínica
CATARSIS|Purificación o descarga emocional, especialmente mediante una experiencia artística
EXEGESIS|Interpretación detallada de un texto, especialmente religioso
ANAGOGIA|Interpretación que eleva el sentido de un texto hacia una realidad espiritual
ESCATOLOGIA|Doctrina sobre el destino último del ser humano y del mundo
COSMOGONIA|Relato o teoría sobre el origen del universo
TEOGONIA|Relato sobre el origen y genealogía de los dioses
